speech_recognition,start,end,max_confidence,mean_confidence
speech,229.25,235.3,0.9619945883750916,0.9224938154220581
speech,236.25,244.3,1.0,1.0
speech,245.25,248.3,0.9999998807907104,0.9999986290931702
non-speech,252.25,252.61,0.672713041305542,0.6727128624916077
speech,255.25,256.3,0.6858440637588501,0.6446990370750427
speech,258.25,282.61,0.9766539931297302,0.9515478610992432
non-speech,284.25,284.61,0.7130163908004761,0.7130163908004761
non-speech,289.25,289.61,0.7306113839149475,0.7306115031242371
speech,290.25,294.3,0.9990519881248474,0.9931588768959045
speech,295.25,298.3,0.9411768913269043,0.8960995674133301
speech,300.25,306.3,1.0,0.9999962449073792
non-speech,315.25,315.61,0.7012309432029724,0.7012309432029724
speech,316.25,322.3,1.0,0.9999997019767761
speech,324.25,329.3,0.9970201849937439,0.986876368522644
speech,330.25,333.3,1.0,1.0
speech,334.25,343.93,0.9817634224891663,0.9444155097007751
speech,344.25,345.3,0.8416894674301147,0.7951322793960571
speech,347.25,351.3,0.8779916763305664,0.8288934826850891
speech,352.25,366.3,0.9695134162902832,0.9319002032279968
speech,369.25,374.3,0.9145358800888062,0.8805032968521118
speech,375.25,376.3,0.8347631096839905,0.8162383437156677
speech,378.25,379.3,1.0,1.0
speech,380.25,385.3,0.7482285499572754,0.7205873131752014
speech,386.25,388.3,0.9410949349403381,0.9101033210754395
speech,390.25,407.3,0.999554455280304,0.9969834685325623
speech,413.25,414.3,0.9140236973762512,0.8649447560310364
speech,415.25,422.3,0.9874832630157471,0.9721319079399109
non-speech,424.25,424.61,0.6148887872695923,0.6148888468742371
speech,425.25,430.3,0.8627952337265015,0.818956732749939
speech,432.25,435.3,0.9660643339157104,0.9440138339996338
speech,439.25,450.3,0.9996193647384644,0.9985327124595642
speech,452.25,453.61,0.959954023361206,0.9273785352706909
speech,454.25,456.3,0.9688002467155457,0.932452917098999
non-speech,457.25,457.61,0.6211345195770264,0.6211344003677368
speech,458.25,486.3,0.9979938268661499,0.9934754967689514
non-speech,489.25,489.61,0.7526629567146301,0.7526628971099854
speech,490.25,493.3,0.9986900687217712,0.9927635788917542
speech,494.25,496.3,0.9937878251075745,0.9868466258049011
speech,505.25,509.3,0.9975730776786804,0.9870176911354065
speech,510.25,513.3,0.9999866485595703,0.9998946189880371
speech,519.25,540.3,0.9548054933547974,0.9379060864448547
speech,543.25,545.3,0.9999570846557617,0.9996280074119568
speech,547.25,555.3,0.996196985244751,0.9864978790283203
speech,556.25,564.3,1.0,1.0
speech,565.25,570.3,0.975957453250885,0.950907826423645
speech,573.25,577.3,1.0,1.0
speech,581.25,598.3,0.995261549949646,0.9881186485290527
speech,599.25,607.3,0.9082556366920471,0.8619464039802551
speech,608.25,609.3,1.0,1.0
speech,611.25,612.3,1.0,1.0
speech,613.25,622.3,0.9998946189880371,0.9994563460350037
speech,623.25,632.3,1.0,1.0
speech,636.25,639.3,0.9888237118721008,0.9694567918777466
speech,640.25,654.3,0.9683651924133301,0.9407511949539185
speech,657.25,659.3,0.7703152298927307,0.742275595664978
speech,662.25,663.3,0.9573504328727722,0.9422716498374939
speech,664.25,667.3,0.9729730486869812,0.9536290764808655
speech,667.57,670.3,0.7423234581947327,0.7411245703697205
speech,671.25,680.3,1.0,1.0
speech,684.25,686.3,0.9484617114067078,0.9212561249732971
speech,688.25,695.3,0.9599136710166931,0.9277927875518799
speech,696.25,698.3,0.997765302658081,0.9904235005378723
speech,700.25,704.3,0.7281287312507629,0.7117058038711548
speech,707.25,708.3,1.0,0.9999991059303284
speech,709.25,716.3,1.0,0.9999994039535522
speech,717.25,725.3,1.0,1.0
speech,725.57,726.3,0.6733763217926025,0.648949146270752
speech,730.25,736.3,1.0,0.999998152256012
speech,736.57,737.3,0.7349284291267395,0.7110359072685242
speech,738.25,742.3,0.9913211464881897,0.9737910628318787
non-speech,744.25,744.93,0.886250376701355,0.7592353820800781
speech,747.25,751.3,0.9478862881660461,0.9193537831306458
speech,754.25,755.3,0.8291988372802734,0.7851818799972534
non-speech,758.25,759.3,0.9411778450012207,0.9095890522003174
speech,760.57,762.3,0.6408504247665405,0.6295320391654968
speech,765.25,765.6099999999999,0.6240357160568237,0.6240355372428894
speech,769.25,772.3,0.9986950755119324,0.9957395792007446
speech,775.25,777.93,0.9941962957382202,0.9843223094940186
speech,778.25,783.6099999999999,0.9999167919158936,0.9986117482185364
speech,787.25,795.3,0.9511911273002625,0.9237965941429138
speech,796.25,801.3,0.9990298748016357,0.9947912693023682
speech,801.57,803.3,0.7217591404914856,0.7195814251899719
speech,805.25,824.3,0.9677340388298035,0.9370485544204712
speech,831.25,839.3,0.996096670627594,0.9883532524108887
speech,840.25,845.3,1.0,1.0
speech,846.25,852.6099999999999,1.0,1.0
speech,853.25,866.3,1.0,1.0
speech,866.89,878.6099999999999,0.601827085018158,0.6018271446228027
non-speech,878.89,880.3,0.6211235523223877,0.6211236119270325
speech,880.57,882.3,0.6944899559020996,0.6899142265319824
speech,884.25,885.3,0.998778760433197,0.9955620765686035
speech,886.25,888.3,1.0,1.0
speech,896.25,898.3,0.9935262203216553,0.9833219051361084
speech,899.25,922.3,1.0,1.0
speech,923.25,928.3,0.9983235001564026,0.9946725368499756
speech,930.25,935.6099999999999,0.8742865324020386,0.8025140166282654
speech,936.25,939.3,1.0,1.0
speech,940.25,943.3,0.9999758005142212,0.9998285174369812
speech,945.25,949.6099999999999,0.9999998807907104,0.9999861121177673
speech,950.25,959.3,0.9999866485595703,0.9998913407325745
speech,960.25,965.3,1.0,1.0
speech,966.25,969.93,0.9941526055335999,0.9815675616264343
speech,970.25,971.3,0.8929591178894043,0.8494015336036682
speech,972.25,982.3,0.8500992655754089,0.8094614148139954
non-speech,984.25,984.6099999999999,0.6538103818893433,0.6538103818893433
speech,985.25,994.6099999999999,0.9986540079116821,0.9958757162094116
speech,995.25,1000.6099999999999,0.9917844533920288,0.9760568737983704
speech,1001.25,1002.3,0.9999995231628418,0.9999931454658508
speech,1003.25,1016.3,0.7469223141670227,0.7120209336280823
speech,1017.25,1023.3,1.0,1.0
speech,1026.25,1040.3,1.0,0.9999992847442627
speech,1050.25,1066.3,0.9962158799171448,0.9894013404846191
speech,1066.57,1073.3,0.6581448912620544,0.6469264030456543
speech,1074.25,1075.3,0.9649331569671631,0.9316283464431763
speech,1077.25,1086.3,1.0,1.0
speech,1087.25,1102.3,0.9851544499397278,0.9730725884437561
speech,1102.57,1112.3,0.6872121095657349,0.6830395460128784
speech,1112.57,1117.3,0.6949167251586914,0.688774585723877
speech,1118.25,1134.3,1.0,1.0
speech,1136.25,1155.61,1.0,1.0
speech,1156.25,1157.3,0.9718834757804871,0.9526122212409973
speech,1159.25,1166.3,1.0,1.0
speech,1167.25,1176.93,1.0,1.0
speech,1177.25,1185.3,0.9565762877464294,0.9284242987632751
speech,1186.25,1189.3,0.9814633131027222,0.9680114984512329
speech,1194.25,1196.3,0.9549464583396912,0.9057443737983704
speech,1197.25,1206.3,0.988797128200531,0.9722300171852112
speech,1207.25,1214.3,0.9996780157089233,0.9980583190917969
speech,1222.25,1225.3,0.8086819052696228,0.7396606206893921
speech,1231.25,1247.3,0.928530752658844,0.8770169615745544
speech,1252.25,1254.3,1.0,1.0
